fold,model,params,n_hvg,MAE_zero,MSE_zero,MedianL1_zero,NB_ll_zero,NB_dev_zero,MAE_thin,MSE_thin,MedianL1_thin,NB_ll_thin,NB_dev_thin,Silhouette
1,scVI,"{'batch_size': 512, 'dropout_rate': 0.1, 'lr': 0.0005, 'max_epochs': 300, 'n_hidden': 128, 'n_latent': 32, 'n_layers': 2, 'use_gpu': True, 'weight_decay': 1e-06}",800,245.9309008725695,4143159.0270813904,83.89100901285808,-7.193855666844307,5.045559807566755,18.129593441988582,20485.998653517603,9.324852466583252,-2.144411677480637,2.1642646948320716,
2,scVI,"{'batch_size': 512, 'dropout_rate': 0.1, 'lr': 0.0005, 'max_epochs': 300, 'n_hidden': 128, 'n_latent': 32, 'n_layers': 2, 'use_gpu': True, 'weight_decay': 1e-06}",800,249.0754004402497,4443176.251325374,82.79925028483073,-7.776880135134477,6.092666124986007,17.972455062783425,21746.93103893813,9.276780605316162,-2.193282951011317,2.2968094502645227,
3,scVI,"{'batch_size': 512, 'dropout_rate': 0.1, 'lr': 0.0005, 'max_epochs': 300, 'n_hidden': 128, 'n_latent': 32, 'n_layers': 2, 'use_gpu': True, 'weight_decay': 1e-06}",800,253.5036878427841,5002067.7661155015,75.47780863444011,-7.9201300460559665,6.529981750416499,17.215016115208186,22952.47464954657,8.672253449757894,-2.224451183572318,2.4277239579944188,
4,scVI,"{'batch_size': 512, 'dropout_rate': 0.1, 'lr': 0.0005, 'max_epochs': 300, 'n_hidden': 128, 'n_latent': 32, 'n_layers': 2, 'use_gpu': True, 'weight_decay': 1e-06}",800,1369.8177080080743,238469039.02446768,340.88353220621747,-9.981423290778125,10.368841756632095,101.16321204246515,1297898.3386667704,44.9245548248291,-2.9963502788240337,3.7023799300922833,
5,scVI,"{'batch_size': 512, 'dropout_rate': 0.1, 'lr': 0.0005, 'max_epochs': 300, 'n_hidden': 128, 'n_latent': 32, 'n_layers': 2, 'use_gpu': True, 'weight_decay': 1e-06}",800,230.57545390355855,3946030.4908625986,76.51995595296223,-8.568766185074795,7.780126294346815,17.261933993181625,23089.75982122369,8.775663534800211,-2.366410137396309,2.6830138809319135,
