fold,model,params,n_hvg,MAE_zero,MSE_zero,MedianL1_zero,NB_ll_zero,NB_dev_zero,MAE_thin,MSE_thin,MedianL1_thin,NB_ll_thin,NB_dev_thin,Silhouette
1,DCA,"{'hidden_size': (32, 64, 128), 'epochs': 300, 'batch_size': 64}",2000,151.62781211517466,9046059.952317184,2.0567592779795327,-4.407768102510829,0.19126275108365362,8.277194419623136,44330.54718375538,0.042287141705552735,-0.9260977161985355,0.16838667898514745,
2,DCA,"{'hidden_size': (32, 64, 128), 'epochs': 300, 'batch_size': 64}",2000,121.14501277539921,3525893.372055723,2.009061982234319,-4.420138873711842,0.1648066290280961,6.516910145985108,30828.864925309117,0.041376651575167976,-0.8983240971510318,0.15770140839304125,
3,DCA,"{'hidden_size': (32, 64, 128), 'epochs': 300, 'batch_size': 64}",2000,148.51220058386215,7308547.33406626,1.8783311049143474,-4.345718321161925,0.16745896834918286,7.243992828333428,35116.32252570573,0.038614314049482346,-0.8632820468453523,0.15721826689517046,
4,DCA,"{'hidden_size': (32, 64, 128), 'epochs': 300, 'batch_size': 64}",2000,157.54390652362096,9801429.797989616,2.1224656105041504,-4.468427632996242,0.17245869181238369,7.663326079738247,79929.62364769662,0.04711769397060076,-0.9747854578251244,0.17197710690494586,
5,DCA,"{'hidden_size': (32, 64, 128), 'epochs': 300, 'batch_size': 64}",2000,123.52041484639444,5049389.874868936,1.9261834025382996,-4.352238888646764,0.187789076083865,6.1569121317596895,23418.47362599094,0.038173832620183624,-0.8710069974272759,0.16193550630971743,
